target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,Features_count,feature_set,TFIDF_features,balanced,accuracy,precision,recall,F1,AUC
local:judge,2,80,80,0,80,K-Fold,5,LogReg,3,"name_language,bio_language,location_language",,True,0.787,0.803,0.762,0.782,0.832
local:judge,2,80,80,0,80,K-Fold,5,Decision Tree,3,"name_language,bio_language,location_language",,True,0.881,0.896,0.863,0.879,0.902
local:judge,2,80,80,0,80,K-Fold,5,Random Forest,3,"name_language,bio_language,location_language",,True,0.881,0.877,0.887,0.882,0.926
local:judge,2,80,80,0,80,K-Fold,5,SVM,3,"name_language,bio_language,location_language",,True,0.756,0.73,0.812,0.769,0.826
local:judge,2,80,80,0,80,K-Fold,5,XGBoost,3,"name_language,bio_language,location_language",,True,0.9,0.91,0.887,0.899,0.903
local:judge,2,80,80,0,80,K-Fold,5,AdaBoost,3,"name_language,bio_language,location_language",,True,0.831,0.844,0.812,0.828,0.917
local:judge,2,80,80,0,80,LOOCV,,LogReg,3,"name_language,bio_language,location_language",,True,0.831,0.827,0.838,0.832,0.904
local:judge,2,80,80,0,80,LOOCV,,Decision Tree,3,"name_language,bio_language,location_language",,True,0.887,0.887,0.887,0.887,0.857
local:judge,2,80,80,0,80,LOOCV,,Random Forest,3,"name_language,bio_language,location_language",,True,0.869,0.883,0.85,0.866,0.93
local:judge,2,80,80,0,80,LOOCV,,SVM,3,"name_language,bio_language,location_language",,True,0.819,0.849,0.775,0.81,0.871
local:judge,2,80,80,0,80,LOOCV,,XGBoost,3,"name_language,bio_language,location_language",,True,0.887,0.887,0.887,0.887,0.839
local:judge,2,80,80,0,80,LOOCV,,AdaBoost,3,"name_language,bio_language,location_language",,True,0.869,0.904,0.825,0.863,0.904
local:judge,2,158,80,0,80,K-Fold,5,LogReg,3,"name_language,bio_language,location_language",,False,0.882,0.919,0.713,0.803,0.913
local:judge,2,158,80,0,80,K-Fold,5,Decision Tree,3,"name_language,bio_language,location_language",,False,0.895,0.857,0.825,0.841,0.918
local:judge,2,158,80,0,80,K-Fold,5,Random Forest,3,"name_language,bio_language,location_language",,False,0.874,0.857,0.75,0.8,0.943
local:judge,2,158,80,0,80,K-Fold,5,SVM,3,"name_language,bio_language,location_language",,False,0.828,0.71,0.825,0.763,0.891
local:judge,2,158,80,0,80,K-Fold,5,XGBoost,3,"name_language,bio_language,location_language",,False,0.853,0.869,0.662,0.752,0.889
local:judge,2,158,80,0,80,K-Fold,5,AdaBoost,3,"name_language,bio_language,location_language",,False,0.874,0.917,0.688,0.786,0.844
local:judge,2,158,80,0,80,LOOCV,,LogReg,3,"name_language,bio_language,location_language",,False,0.887,0.921,0.725,0.811,0.901
