target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,Features_count,feature_set,TFIDF_features,balanced,accuracy,precision,recall,F1,AUC
private:judge,2,16,16,0,16,K-Fold,5,LogReg,2,"following,followers",,True,0.625,0.583,0.875,0.7,0.605
private:judge,2,16,16,0,16,K-Fold,5,Decision Tree,2,"following,followers",,True,0.469,0.471,0.5,0.485,0.486
private:judge,2,16,16,0,16,K-Fold,5,Random Forest,2,"following,followers",,True,0.594,0.588,0.625,0.606,0.594
private:judge,2,16,16,0,16,K-Fold,5,SVM,2,"following,followers",,True,0.656,0.6,0.938,0.732,0.547
private:judge,2,16,16,0,16,K-Fold,5,XGBoost,2,"following,followers",,True,0.531,0.529,0.562,0.545,0.566
private:judge,2,16,16,0,16,K-Fold,5,AdaBoost,2,"following,followers",,True,0.625,0.625,0.625,0.625,0.67
private:judge,2,16,16,0,16,LOOCV,,LogReg,2,"following,followers",,True,0.594,0.565,0.812,0.667,0.453
private:judge,2,16,16,0,16,LOOCV,,Decision Tree,2,"following,followers",,True,0.344,0.353,0.375,0.364,0.336
private:judge,2,16,16,0,16,LOOCV,,Random Forest,2,"following,followers",,True,0.688,0.667,0.75,0.706,0.711
private:judge,2,16,16,0,16,LOOCV,,SVM,2,"following,followers",,True,0.594,0.556,0.938,0.698,0.234
private:judge,2,16,16,0,16,LOOCV,,XGBoost,2,"following,followers",,True,0.656,0.632,0.75,0.686,0.504
private:judge,2,16,16,0,16,LOOCV,,AdaBoost,2,"following,followers",,True,0.375,0.389,0.438,0.412,0.398
private:judge,2,16,89,0,16,K-Fold,5,LogReg,2,"following,followers",,False,0.848,0.861,0.978,0.916,0.654
private:judge,2,16,89,0,16,K-Fold,5,Decision Tree,2,"following,followers",,False,0.714,0.839,0.82,0.83,0.507
private:judge,2,16,89,0,16,K-Fold,5,Random Forest,2,"following,followers",,False,0.838,0.846,0.989,0.912,0.585
private:judge,2,16,89,0,16,K-Fold,5,SVM,2,"following,followers",,False,0.848,0.854,0.989,0.917,0.52
private:judge,2,16,89,0,16,K-Fold,5,XGBoost,2,"following,followers",,False,0.771,0.835,0.91,0.871,0.551
